"site_id","time","temp"
"AQ","2026-04-30T00:00:00.000000",8.28890514373779
"AQ","2026-04-30T01:00:00.000000",8.2888879776001
"AQ","2026-04-30T02:00:00.000000",8.29317855834961
"AQ","2026-04-30T03:00:00.000000",8.29794216156006
"AQ","2026-04-30T04:00:00.000000",8.30541038513184
"AQ","2026-04-30T05:00:00.000000",8.34131717681885
"AQ","2026-04-30T06:00:00.000000",8.3925085067749
"AQ","2026-04-30T07:00:00.000000",8.4072151184082
"AQ","2026-04-30T08:00:00.000000",8.41704368591309
"AQ","2026-04-30T09:00:00.000000",8.41371059417725
"AQ","2026-04-30T10:00:00.000000",8.40919303894043
"AQ","2026-04-30T11:00:00.000000",8.40951061248779
"AQ","2026-04-30T12:00:00.000000",8.41581439971924
"AQ","2026-04-30T13:00:00.000000",8.41320991516113
"AQ","2026-04-30T14:00:00.000000",8.4150218963623
"AQ","2026-04-30T15:00:00.000000",8.41936016082764
"AQ","2026-04-30T16:00:00.000000",8.42502880096436
"AQ","2026-04-30T17:00:00.000000",8.44569206237793
"AQ","2026-04-30T18:00:00.000000",8.46397876739502
"AQ","2026-04-30T19:00:00.000000",8.47080039978027
"AQ","2026-04-30T20:00:00.000000",8.47579860687256
"AQ","2026-04-30T21:00:00.000000",8.47882270812988
"AQ","2026-04-30T22:00:00.000000",8.48034477233887
"AQ","2026-04-30T23:00:00.000000",8.48377799987793
"AQ","2026-05-01T00:00:00.000000",8.48738098144531
"AQ","2026-05-01T01:00:00.000000",8.48727321624756
"AQ","2026-05-01T02:00:00.000000",8.48772621154785
"AQ","2026-05-01T03:00:00.000000",8.48830509185791
"AQ","2026-05-01T04:00:00.000000",8.48921203613281
"AQ","2026-05-01T05:00:00.000000",8.49045944213867
"AQ","2026-05-01T06:00:00.000000",8.49331569671631
"AQ","2026-05-01T07:00:00.000000",8.49561023712158
"AQ","2026-05-01T08:00:00.000000",8.50182247161865
"AQ","2026-05-01T09:00:00.000000",8.50852680206299
"AQ","2026-05-01T10:00:00.000000",8.51380729675293
"AQ","2026-05-01T11:00:00.000000",8.51775550842285
"AQ","2026-05-01T12:00:00.000000",8.50717830657959
"AQ","2026-05-01T13:00:00.000000",8.47184467315674
"AQ","2026-05-01T14:00:00.000000",8.40763473510742
