"site_id","time","temp_c"
"AQ","2026-03-01T00:00:00.000000",2.48843789100647
"AQ","2026-03-01T01:00:00.000000",2.2606782913208
"AQ","2026-03-01T02:00:00.000000",2.19328880310059
"AQ","2026-03-01T03:00:00.000000",2.17714262008667
"AQ","2026-03-01T04:00:00.000000",2.15517926216125
"AQ","2026-03-01T05:00:00.000000",2.15254878997803
"AQ","2026-03-01T06:00:00.000000",2.14537930488586
"AQ","2026-03-01T07:00:00.000000",2.11588573455811
"AQ","2026-03-01T08:00:00.000000",2.11031031608582
"AQ","2026-03-01T09:00:00.000000",2.11106467247009
"AQ","2026-03-01T10:00:00.000000",2.09938049316406
"AQ","2026-03-01T11:00:00.000000",2.07071828842163
"AQ","2026-03-01T12:00:00.000000",2.07532715797424
"AQ","2026-03-01T13:00:00.000000",2.08886957168579
"AQ","2026-03-01T14:00:00.000000",2.10179567337036
"AQ","2026-03-01T15:00:00.000000",2.06723165512085
"AQ","2026-03-01T16:00:00.000000",2.05249691009521
"AQ","2026-03-01T17:00:00.000000",2.07270693778992
"AQ","2026-03-01T18:00:00.000000",2.10572957992554
"AQ","2026-03-01T19:00:00.000000",2.13143801689148
"AQ","2026-03-01T20:00:00.000000",2.13747310638428
"AQ","2026-03-01T21:00:00.000000",2.15003657341003
"AQ","2026-03-01T22:00:00.000000",2.15700316429138
"AQ","2026-03-01T23:00:00.000000",2.1720073223114
"AQ","2026-03-02T00:00:00.000000",2.17362999916077
"AQ","2026-03-02T01:00:00.000000",2.26552629470825
"AQ","2026-03-02T02:00:00.000000",2.34673023223877
"AQ","2026-03-02T03:00:00.000000",2.34555745124817
"AQ","2026-03-02T04:00:00.000000",2.24006724357605
"AQ","2026-03-02T05:00:00.000000",2.20137023925781
"AQ","2026-03-02T06:00:00.000000",2.19690251350403
"AQ","2026-03-02T07:00:00.000000",2.19668054580688
"AQ","2026-03-02T08:00:00.000000",2.16727137565613
"AQ","2026-03-02T09:00:00.000000",2.14307713508606
"AQ","2026-03-02T10:00:00.000000",2.11717700958252
"AQ","2026-03-02T11:00:00.000000",2.06470203399658
"AQ","2026-03-02T12:00:00.000000",1.99984049797058
"AQ","2026-03-02T13:00:00.000000",1.99843394756317
"AQ","2026-03-02T14:00:00.000000",1.99225723743439
"AQ","2026-03-02T15:00:00.000000",2.00337266921997
"AQ","2026-03-02T16:00:00.000000",1.98870444297791
"AQ","2026-03-02T17:00:00.000000",2.04529571533203
"AQ","2026-03-02T18:00:00.000000",2.11105561256409
"AQ","2026-03-02T19:00:00.000000",2.15077376365662
"AQ","2026-03-02T20:00:00.000000",2.18715906143188
"AQ","2026-03-02T21:00:00.000000",2.18685507774353
"AQ","2026-03-02T22:00:00.000000",2.19063854217529
"AQ","2026-03-02T23:00:00.000000",2.17970371246338
"AQ","2026-03-03T00:00:00.000000",2.17835068702698
"AQ","2026-03-03T01:00:00.000000",2.14057159423828
"AQ","2026-03-03T02:00:00.000000",2.0424268245697
"AQ","2026-03-03T03:00:00.000000",2.00516319274902
"AQ","2026-03-03T04:00:00.000000",2.00827765464783
"AQ","2026-03-03T05:00:00.000000",1.91093420982361
"AQ","2026-03-03T06:00:00.000000",1.85281455516815
"AQ","2026-03-03T07:00:00.000000",1.87072324752808
"AQ","2026-03-03T08:00:00.000000",1.86773753166199
"AQ","2026-03-03T09:00:00.000000",1.85150265693665
"AQ","2026-03-03T10:00:00.000000",1.81507575511932
"AQ","2026-03-03T11:00:00.000000",1.73871028423309
"AQ","2026-03-03T12:00:00.000000",1.71784806251526
"AQ","2026-03-03T13:00:00.000000",1.73420119285583
"AQ","2026-03-03T14:00:00.000000",1.82338929176331
"AQ","2026-03-03T15:00:00.000000",1.9403817653656
"AQ","2026-03-03T16:00:00.000000",2.00833106040955
"AQ","2026-03-03T17:00:00.000000",2.00144743919373
"AQ","2026-03-03T18:00:00.000000",1.95524954795837
"AQ","2026-03-03T19:00:00.000000",1.9872407913208
"AQ","2026-03-03T20:00:00.000000",1.9943311214447
"AQ","2026-03-03T21:00:00.000000",2.0147123336792
"AQ","2026-03-03T22:00:00.000000",2.00011157989502
"AQ","2026-03-03T23:00:00.000000",2.00240564346313
"AQ","2026-03-04T00:00:00.000000",2.02049875259399
"AQ","2026-03-04T01:00:00.000000",2.02825522422791
"AQ","2026-03-04T02:00:00.000000",2.03677463531494
"AQ","2026-03-04T03:00:00.000000",2.06414747238159
"AQ","2026-03-04T04:00:00.000000",2.08937501907349
"AQ","2026-03-04T05:00:00.000000",2.09674692153931
"AQ","2026-03-04T06:00:00.000000",2.02344727516174
"AQ","2026-03-04T07:00:00.000000",2.00881052017212
"AQ","2026-03-04T08:00:00.000000",2.02386355400085
"AQ","2026-03-04T09:00:00.000000",2.02475690841675
"AQ","2026-03-04T10:00:00.000000",1.99879086017609
"AQ","2026-03-04T11:00:00.000000",1.98737835884094
"AQ","2026-03-04T12:00:00.000000",1.98609220981598
"AQ","2026-03-04T13:00:00.000000",2.00872302055359
"AQ","2026-03-04T14:00:00.000000",2.02163505554199
"AQ","2026-03-04T15:00:00.000000",2.0463011264801
"AQ","2026-03-04T16:00:00.000000",2.10175180435181
"AQ","2026-03-04T17:00:00.000000",2.14259839057922
"AQ","2026-03-04T18:00:00.000000",2.1339099407196
"AQ","2026-03-04T19:00:00.000000",2.12751317024231
"AQ","2026-03-04T20:00:00.000000",2.21133375167847
"AQ","2026-03-04T21:00:00.000000",2.28444409370422
"AQ","2026-03-04T22:00:00.000000",2.31577134132385
"AQ","2026-03-04T23:00:00.000000",2.31518745422363
"AQ","2026-03-05T00:00:00.000000",2.301114320755
"AQ","2026-03-05T01:00:00.000000",2.27597713470459
"AQ","2026-03-05T02:00:00.000000",2.26213002204895
"AQ","2026-03-05T03:00:00.000000",2.26275205612183
"AQ","2026-03-05T04:00:00.000000",2.27785325050354
"AQ","2026-03-05T05:00:00.000000",2.29084372520447
"AQ","2026-03-05T06:00:00.000000",2.28798246383667
"AQ","2026-03-05T07:00:00.000000",2.23912572860718
"AQ","2026-03-05T08:00:00.000000",2.20735549926758
"AQ","2026-03-05T09:00:00.000000",2.20381593704224
"AQ","2026-03-05T10:00:00.000000",2.17926454544067
"AQ","2026-03-05T11:00:00.000000",2.14965748786926
"AQ","2026-03-05T12:00:00.000000",2.14658188819885
"AQ","2026-03-05T13:00:00.000000",2.18918228149414
"AQ","2026-03-05T14:00:00.000000",2.22318696975708
"AQ","2026-03-05T15:00:00.000000",2.2567081451416
"AQ","2026-03-05T16:00:00.000000",2.29366302490234
"AQ","2026-03-05T17:00:00.000000",2.31638240814209
"AQ","2026-03-05T18:00:00.000000",2.33521795272827
"AQ","2026-03-05T19:00:00.000000",2.26707172393799
"AQ","2026-03-05T20:00:00.000000",2.23793435096741
"AQ","2026-03-05T21:00:00.000000",2.27566576004028
"AQ","2026-03-05T22:00:00.000000",2.28857517242432
"AQ","2026-03-05T23:00:00.000000",2.28749680519104
"AQ","2026-03-06T00:00:00.000000",2.29846906661987
"AQ","2026-03-06T01:00:00.000000",2.31088900566101
"AQ","2026-03-06T02:00:00.000000",2.31621980667114
"AQ","2026-03-06T03:00:00.000000",2.34358978271484
"AQ","2026-03-06T04:00:00.000000",2.35980820655823
"AQ","2026-03-06T05:00:00.000000",2.36066818237305
"AQ","2026-03-06T06:00:00.000000",2.36066794395447
"AQ","2026-03-06T07:00:00.000000",2.36066818237305
"AQ","2026-03-06T08:00:00.000000",2.30335545539856
"AQ","2026-03-06T09:00:00.000000",2.29891109466553
"AQ","2026-03-06T10:00:00.000000",2.29835104942322
"AQ","2026-03-06T11:00:00.000000",2.27375197410583
"AQ","2026-03-06T12:00:00.000000",2.29328608512878
"AQ","2026-03-06T13:00:00.000000",2.30103898048401
"AQ","2026-03-06T14:00:00.000000",2.30483150482178
"AQ","2026-03-06T15:00:00.000000",2.31296300888062
"AQ","2026-03-06T16:00:00.000000",2.31927704811096
"AQ","2026-03-06T17:00:00.000000",2.32714414596558
"AQ","2026-03-06T18:00:00.000000",2.33718514442444
"AQ","2026-03-06T19:00:00.000000",2.34825563430786
"AQ","2026-03-06T20:00:00.000000",2.33016586303711
"AQ","2026-03-06T21:00:00.000000",2.31551718711853
"AQ","2026-03-06T22:00:00.000000",2.31831932067871
